t_saat,AN_SO2,AN_SF,AN_SA,AN_SNH4,AN_SNO3,AN_SPO4,AN_SALK,AN_SN2,AN_XI,AN_XS,AN_XH,AN_XPAO,AN_XPP,AN_XPHA,AN_XAUT,AN_XTSS,AN_XMeOH,AN_XMeP,AX_SO2,AX_SF,AX_SA,AX_SNH4,AX_SNO3,AX_SPO4,AX_SALK,AX_SN2,AX_XI,AX_XS,AX_XH,AX_XPAO,AX_XPP,AX_XPHA,AX_XAUT,AX_XTSS,AX_XMeOH,AX_XMeP,AE_SO2,AE_SF,AE_SA,AE_SNH4,AE_SNO3,AE_SPO4,AE_SALK,AE_SN2,AE_XI,AE_XS,AE_XH,AE_XPAO,AE_XPP,AE_XPHA,AE_XAUT,AE_XTSS,AE_XMeOH,AE_XMeP
916,0.0,4.98,33.556,36.827,0.002,31.713,5.929,27.587,1889.094,298.666,1480.568,1148.42,51.502,87.916,77.784,4470.19,6.843,167.049,0.0,1.352,1.61,21.802,0.358,12.101,5.405,36.429,1882.881,214.867,1501.603,1158.707,70.431,45.501,78.246,4463.826,11.874,158.863,4.092,0.802,0.069,13.262,5.979,0.526,4.628,36.838,1877.779,174.129,1511.892,1165.255,83.105,14.313,78.921,4463.822,19.056,148.074
917,0.0,5.798,35.174,38.41,0.002,32.025,5.974,27.595,1891.269,316.585,1482.926,1149.833,52.076,89.822,77.955,4492.012,6.744,167.356,0.0,1.474,1.889,24.23,0.339,13.301,5.473,36.278,1884.698,230.712,1504.014,1159.78,69.821,50.055,78.418,4481.557,11.124,160.05,3.901,0.847,0.084,16.056,5.75,0.67,4.736,36.749,1879.423,188.43,1514.506,1166.896,83.416,17.471,79.083,4483.177,18.077,149.575
918,0.001,7.785,34.371,37.366,0.003,28.767,6.028,27.508,1891.903,331.324,1488.34,1152.711,55.946,85.31,78.153,4520.79,7.408,166.507,0.0,1.693,2.294,26.2,0.318,12.944,5.563,35.738,1886.344,249.331,1508.143,1162.043,70.949,52.048,78.601,4507.721,11.058,160.324,3.649,0.919,0.114,19.297,5.004,0.828,4.936,36.391,1881.809,209.148,1517.814,1169.123,83.772,22.266,79.186,4510.398,16.74,151.706
919,0.0,8.273,35.695,38.956,0.003,24.506,6.268,27.169,1892.679,355.279,1495.867,1156.428,61.09,79.54,78.316,4562.571,8.641,165.089,0.0,1.941,3.221,28.243,0.252,12.245,5.754,34.577,1888.004,275.197,1513.672,1164.778,72.495,54.643,78.741,4542.647,11.388,160.163,3.367,1.031,0.175,22.297,4.011,1.068,5.226,35.424,1884.322,237.279,1522.611,1171.543,84.126,28.511,79.236,4545.584,15.723,153.495
920,0.0,4.359,26.399,40.13,0.003,24.76,6.517,26.65,1890.736,361.498,1501.035,1159.245,61.65,84.302,78.395,4578.097,8.449,165.678,0.0,1.587,2.185,30.699,0.239,11.724,5.992,33.615,1888.646,293.92,1518.439,1167.737,73.877,57.254,78.822,4570.521,11.536,160.31,3.444,1.01,0.116,24.63,4.135,0.5,5.423,34.36,1885.442,257.473,1529.297,1175.285,85.657,29.412,79.365,4576.596,16.438,152.822
921,0.0,5.083,21.981,36.451,0.003,22.364,6.546,26.223,1888.24,359.465,1507.135,1162.979,64.473,79.907,78.523,4589.992,9.474,164.497,0.0,1.605,1.803,30.314,0.329,9.846,6.118,32.932,1887.208,298.505,1524.02,1171.703,76.688,52.758,78.95,4587.755,12.74,158.893,3.373,1.022,0.114,25.637,4.026,0.503,5.594,33.613,1884.835,266.609,1534.015,1178.453,86.59,28.617,79.452,4592.737,17.121,152.173
922,0.0,4.349,20.339,32.354,0.003,21.114,6.595,25.813,1886.868,369.088,1512.875,1166.173,66.107,77.318,78.614,4607.928,10.209,163.666,0.0,1.56,1.745,28.135,0.296,9.246,6.194,32.193,1885.955,306.606,1529.318,1174.684,77.899,50.941,79.035,4603.165,13.664,157.896,3.41,1.03,0.108,24.278,3.92,0.401,5.691,32.825,1883.627,274.269,1539.627,1181.402,87.422,27.084,79.539,4607.039,18.131,151.078
923,0.0,3.62,16.945,29.956,0.003,22.652,6.589,25.539,1885.56,372.711,1516.592,1168.339,64.693,79.808,78.686,4612.197,9.615,164.508,0.0,1.44,1.374,25.604,0.3,9.171,6.212,32.015,1884.759,309.666,1533.963,1177.375,78.37,48.77,79.12,4611.445,13.989,157.554,3.58,1.005,0.077,21.379,4.465,0.287,5.643,32.456,1882.069,274.869,1546.07,1184.545,88.18,22.564,79.694,4614.398,19.462,149.323
924,0.0,3.994,15.109,29.963,0.003,21.719,6.511,25.426,1882.862,365.835,1522.584,1171.0,66.406,73.718,78.824,4614.486,10.235,163.568,0.0,1.437,1.219,23.79,0.409,8.53,6.17,31.87,1882.819,307.699,1539.893,1180.078,79.536,44.185,79.258,4617.202,14.546,156.779,3.504,1.001,0.081,19.402,4.352,0.393,5.647,32.335,1880.631,275.909,1550.799,1186.342,88.443,21.136,79.784,4620.09,19.521,149.309
925,0.0,2.397,8.744,29.471,0.003,21.463,6.488,25.322,1879.242,341.893,1526.398,1172.365,67.071,70.739,78.906,4598.951,9.996,163.849,0.0,1.259,0.879,23.185,0.373,7.925,6.134,31.773,1880.373,298.173,1543.882,1181.649,80.773,39.872,79.344,4614.547,14.929,156.233,3.72,0.969,0.053,18.172,4.673,0.264,5.558,32.153,1878.232,268.932,1556.472,1188.025,89.298,16.509,79.928,4619.393,20.452,147.976
926,0.0,2.027,6.155,23.825,0.003,21.284,6.452,25.326,1876.272,316.059,1528.15,1172.137,67.179,67.271,78.999,4576.996,9.726,164.046,0.0,1.139,0.661,20.595,0.438,6.995,6.045,32.239,1877.715,276.306,1547.275,1182.179,82.178,33.511,79.458,4600.044,15.749,154.949,3.99,0.916,0.036,15.861,5.595,0.246,5.348,32.378,1875.254,247.735,1561.682,1187.919,90.069,10.573,80.139,4604.139,22.086,145.511
927,0.0,2.035,6.029,21.92,0.003,21.367,6.347,25.471,1873.633,297.85,1530.511,1170.54,67.203,64.418,79.143,4560.359,9.939,163.652,0.0,1.057,0.546,17.072,0.572,6.358,5.935,32.833,1875.03,255.136,1550.798,1180.905,83.203,28.631,79.618,4584.133,16.721,153.407,4.161,0.863,0.03,12.432,6.191,0.305,5.178,32.863,1872.412,226.175,1565.16,1185.348,90.544,7.643,80.331,4585.9,23.322,143.573
928,0.0,1.864,6.069,22.975,0.003,22.27,6.182,25.69,1871.123,284.423,1532.145,1167.548,66.473,64.731,79.289,4545.137,9.646,163.937,0.0,1.007,0.508,15.729,0.594,6.188,5.809,33.46,1872.471,237.676,1553.236,1178.088,83.697,26.356,79.771,4568.784,17.254,152.515,4.336,0.818,0.026,9.973,6.651,0.347,5.012,33.408,1869.598,207.121,1567.766,1181.652,90.947,5.995,80.522,4568.408,24.323,141.979
929,0.0,1.632,4.522,20.805,0.003,21.351,6.001,25.949,1868.412,260.084,1534.089,1163.939,67.865,60.783,79.46,4525.248,10.03,163.169,0.0,0.922,0.4,14.261,0.776,5.831,5.653,33.861,1869.733,220.239,1554.902,1174.432,84.4,24.374,79.945,4552.757,17.624,151.802,4.382,0.781,0.023,8.633,6.699,0.395,4.885,33.925,1866.998,192.105,1568.428,1177.471,91.172,5.799,80.666,4552.538,24.481,141.592
930,0.0,1.394,3.724,20.171,0.003,21.182,5.944,26.166,1866.293,236.365,1532.558,1159.33,68.21,59.579,79.558,4500.841,9.549,163.668,0.0,0.892,0.413,12.738,0.581,5.233,5.535,34.569,1867.551,200.754,1554.487,1170.218,85.487,21.706,80.049,4533.864,18.333,150.616,4.708,0.733,0.017,6.531,7.394,0.384,4.651,34.394,1864.09,172.637,1569.484,1172.438,91.791,3.767,80.876,4532.34,25.834,139.432
931,0.0,1.436,3.942,20.146,0.003,20.589,5.792,26.425,1863.664,216.63,1532.393,1154.055,69.575,56.267,79.721,4481.207,10.42,162.268,0.0,0.795,0.303,11.719,1.024,5.023,5.381,34.833,1864.843,181.786,1553.77,1164.712,86.17,20.149,80.22,4512.96,18.935,149.544,4.697,0.691,0.017,5.557,7.34,0.493,4.545,34.917,1861.75,156.882,1566.992,1166.462,92.022,4.196,80.967,4511.982,25.951,139.067
932,0.0,1.479,4.856,21.09,0.002,21.803,5.723,26.629,1861.36,211.479,1529.728,1148.472,68.602,59.152,79.813,4466.969,9.728,163.065,0.0,0.796,0.347,11.449,0.75,4.838,5.292,35.341,1862.53,169.308,1551.295,1159.333,86.895,19.043,80.304,4496.224,19.317,148.833,4.943,0.653,0.015,4.717,7.551,0.485,4.4,35.242,1859.052,142.526,1564.377,1160.54,92.608,3.137,81.098,4492.367,26.687,137.817
933,0.0,1.531,5.077,23.239,0.002,26.67,5.75,26.812,1860.714,212.678,1523.156,1141.768,63.536,71.84,79.832,4447.44,7.624,165.909,0.0,0.804,0.396,11.558,0.556,5.696,5.225,36.279,1860.99,161.279,1546.914,1153.429,86.115,21.862,80.346,4479.114,18.533,149.73,5.203,0.613,0.013,3.385,8.633,0.581,4.15,35.824,1856.203,128.557,1562.138,1153.728,93.08,2.644,81.284,4472.195,27.854,135.843
934,0.0,1.532,5.778,24.498,0.002,31.548,5.736,27.052,1861.243,216.218,1516.264,1134.869,58.71,84.124,79.848,4430.311,6.333,167.636,0.0,0.787,0.39,11.656,0.58,6.694,5.159,37.222,1859.806,155.136,1541.782,1147.418,85.047,25.71,80.384,4462.784,17.259,151.306,5.342,0.585,0.012,2.597,9.379,0.584,3.974,36.581,1853.844,118.364,1558.059,1147.394,93.376,2.959,81.371,4454.177,28.174,135.066
935,0.0,1.982,8.12,24.132,0.002,32.834,5.648,27.409,1860.78,218.115,1512.767,1129.216,57.797,87.537,79.938,4422.057,6.622,167.072,0.0,0.772,0.362,11.591,0.887,7.461,5.092,37.631,1858.358,152.939,1537.3,1141.915,84.313,28.872,80.47,4450.784,16.425,152.259,5.114,0.584,0.015,3.142,8.833,0.515,4.003,37.355,1852.727,116.948,1551.13,1143.099,93.344,4.636,81.33,4443.451,26.732,136.921
936,0.0,1.705,7.394,26.361,0.001,37.003,5.673,27.721,1861.536,221.997,1505.929,1124.244,53.698,98.501,79.933,4408.82,5.154,169.122,0.0,0.821,0.488,11.993,0.404,8.027,5.091,38.534,1857.897,152.443,1531.331,1137.762,83.744,31.51,80.46,4441.001,15.314,153.681,5.366,0.575,0.013,2.551,9.342,0.396,3.877,37.978,1851.073,112.808,1546.585,1139.362,93.782,3.501,81.436,4432.068,27.123,136.116
937,0.0,1.827,7.845,29.619,0.001,41.94,5.711,28.192,1862.576,226.164,1496.597,1118.657,49.07,110.254,79.752,4391.426,4.544,169.92,0.0,0.895,0.802,13.742,0.18,11.996,5.089,38.951,1857.673,153.374,1521.105,1131.194,79.495,41.511,80.253,4419.276,13.009,156.756,0.29,0.546,0.038,4.856,5.602,0.737,4.239,40.492,1849.519,113.547,1537.217,1133.873,93.613,5.431,80.844,4417.952,26.916,136.111
938,0.0,2.884,13.424,30.819,0.002,40.305,5.822,29.129,1862.596,236.566,1490.735,1114.989,51.253,107.125,79.433,4395.104,5.21,168.806,0.0,0.98,1.67,17.039,0.054,17.622,5.208,38.308,1856.758,162.294,1508.246,1124.068,73.612,55.753,79.857,4397.366,10.4,160.252,0.2,0.635,0.109,9.29,1.644,1.714,4.771,41.938,1849.952,125.565,1522.588,1130.658,91.704,14.272,80.189,4411.777,21.936,143.092
939,0.0,3.113,19.254,34.906,0.002,35.27,6.02,29.519,1861.854,255.97,1482.527,1112.792,55.53,101.998,78.923,4410.003,5.297,168.709,0.0,1.049,3.591,22.276,0.004,22.77,5.526,36.509,1856.707,184.826,1492.094,1119.116,68.019,73.327,79.281,4388.471,7.338,164.591,0.135,0.948,0.467,16.146,0.137,8.036,5.272,39.876,1851.653,152.722,1502.12,1125.281,83.446,39.937,79.461,4402.339,12.361,156.775
940,0.0,5.693,30.364,41.24,0.002,36.224,6.148,28.495,1865.559,301.016,1467.072,1108.079,51.514,117.488,78.25,4424.813,3.998,170.691,0.0,1.275,5.854,29.68,0.002,29.038,5.806,34.158,1858.252,218.343,1474.553,1113.644,60.239,97.824,78.582,4384.412,4.392,168.955,0.115,1.138,0.699,24.061,0.092,16.38,5.624,36.775,1853.221,184.927,1482.893,1118.861,73.369,69.749,78.72,4392.129,5.977,166.032
941,0.0,5.545,36.589,42.582,0.003,39.689,6.386,27.172,1868.301,339.54,1450.581,1102.229,42.897,143.975,77.523,4423.531,3.248,171.913,0.0,1.406,8.576,35.437,0.002,37.137,6.042,31.974,1861.271,257.889,1457.746,1107.573,49.558,129.353,77.847,4380.253,3.076,171.023,0.101,1.337,0.999,31.215,0.068,26.236,5.872,34.18,1856.062,222.943,1466.089,1112.267,61.588,103.608,77.967,4384.476,3.714,169.472
942,0.0,6.546,39.705,44.712,0.003,42.404,6.552,25.903,1871.188,378.669,1434.801,1095.726,33.063,173.075,76.77,4420.495,2.935,172.713,0.0,1.568,10.463,39.246,0.001,43.793,6.264,29.994,1863.827,294.962,1441.891,1100.932,38.39,161.708,77.087,4372.9,2.505,172.113,0.093,1.504,1.278,36.119,0.055,35.244,6.107,31.884,1858.844,260.452,1450.312,1105.255,49.023,139.111,77.199,4374.871,2.776,171.075
943,0.0,5.867,39.926,44.324,0.002,40.911,6.556,25.004,1873.721,401.965,1430.919,1097.82,32.951,185.51,76.607,4445.247,3.023,172.664,0.0,1.773,4.117,38.373,0.134,34.412,6.337,30.546,1866.666,314.793,1447.099,1106.013,43.762,163.281,77.027,4417.416,3.037,171.593,3.127,1.082,0.178,32.732,4.136,16.363,5.965,30.936,1861.284,269.359,1460.445,1117.512,63.641,124.274,77.655,4441.919,4.142,169.373
944,0.0,6.301,33.858,41.57,0.003,32.633,6.611,24.887,1873.297,402.752,1437.768,1106.614,43.859,176.114,76.793,4488.83,4.357,170.803,0.0,1.871,2.953,35.558,0.246,20.148,6.386,31.249,1868.156,324.41,1456.552,1116.024,57.157,148.686,77.232,4477.171,5.19,168.658,3.062,1.097,0.166,30.62,4.47,4.211,5.982,31.515,1863.787,283.47,1467.921,1126.039,73.95,115.182,77.805,4495.591,7.455,164.893
945,0.0,4.696,28.26,40.598,0.003,27.849,6.571,25.029,1872.252,396.943,1445.41,1115.025,51.276,168.594,76.934,4516.953,6.168,168.235,0.0,1.687,2.317,33.854,0.233,13.402,6.362,31.497,1868.779,328.868,1463.854,1124.542,65.102,138.548,77.369,4513.662,8.574,164.011,3.296,1.1,0.13,28.573,4.536,0.317,5.879,31.837,1864.929,290.83,1476.311,1134.738,78.748,104.974,77.956,4524.776,12.899,157.368
946,0.0,6.536,25.529,37.621,0.003,23.539,6.632,25.149,1872.395,399.59,1454.808,1124.17,56.801,153.894,77.095,4543.956,8.308,165.149,0.0,1.845,2.339,32.058,0.283,10.82,6.303,31.469,1868.912,331.901,1472.258,1133.379,68.95,126.873,77.519,4536.038,11.26,160.254,3.183,1.133,0.154,27.576,4.033,0.363,5.837,31.946,1865.668,297.315,1482.863,1141.992,79.88,98.832,78.022,4541.683,15.543,153.757
947,0.0,4.75,21.016,34.114,0.003,21.708,6.653,25.092,1870.433,392.985,1462.633,1131.796,59.228,144.806,77.18,4553.441,9.424,163.575,0.0,1.685,2.035,29.712,0.247,9.833,6.326,31.134,1868.894,336.511,1479.19,1140.685,70.833,118.667,77.597,4552.968,12.77,158.186,3.267,1.13,0.132,25.625,3.862,0.25,5.846,31.658,1866.073,304.132,1490.456,1149.376,81.028,90.976,78.103,4558.958,17.41,151.204
948,0.0,3.138,12.525,30.053,0.003,21.072,6.531,24.994,1866.673,376.137,1468.823,1138.772,60.406,134.976,77.257,4547.605,9.931,162.866,0.0,1.456,1.282,26.632,0.307,8.496,6.251,31.033,1866.904,327.309,1485.224,1148.167,72.875,106.504,77.678,4555.61,13.987,156.472,3.384,1.093,0.094,22.752,4.083,0.182,5.756,31.492,1864.67,297.844,1497.168,1156.91,81.89,79.595,78.202,4561.413,18.962,149.01
949,0.0,2.773,9.357,27.573,0.004,19.1,6.425,24.934,1862.725,356.304,1474.338,1145.753,62.625,119.308,77.334,4538.428,10.944,161.429,0.0,1.354,1.016,23.484,0.351,7.084,6.13,30.984,1863.993,313.32,1490.587,1155.455,74.979,90.9,77.757,4551.202,15.489,154.349,3.494,1.072,0.078,19.562,4.175,0.145,5.623,31.409,1862.155,286.073,1502.543,1163.898,82.679,65.769,78.278,4555.535,20.418,146.947
950,0.0,2.363,6.93,25.875,0.004,18.419,6.446,24.901,1859.31,333.346,1478.545,1151.937,63.889,104.159,77.392,4522.662,11.563,160.428,0.0,1.264,0.854,21.221,0.361,6.368,6.051,31.005,1860.837,295.38,1494.967,1161.855,76.254,75.535,77.817,4539.449,16.775,152.478,3.642,1.044,0.064,16.92,4.345,0.121,5.489,31.382,1859.017,269.585,1507.38,1170.251,83.323,50.748,78.355,4543.323,22.003,144.663
951,0.0,2.007,5.493,24.744,0.004,17.993,6.274,24.915,1856.417,309.534,1481.447,1157.05,64.795,89.18,77.443,4503.629,11.855,159.934,0.0,1.179,0.727,19.267,0.384,5.83,5.952,31.202,1857.9,274.508,1498.432,1167.325,77.437,59.834,77.876,4523.559,17.792,150.934,3.824,1.003,0.051,14.541,4.688,0.109,5.354,31.491,1855.847,249.225,1511.489,1175.601,84.046,35.233,78.447,4526.556,23.494,142.429
952,0.0,2.244,7.254,24.415,0.003,19.06,6.136,24.993,1855.081,300.469,1483.475,1160.806,63.786,79.519,77.502,4491.977,11.674,160.062,0.0,1.151,0.727,17.864,0.407,5.793,5.793,31.566,1855.489,256.44,1501.343,1171.335,77.889,46.675,77.943,4507.645,18.488,149.832,4.006,0.948,0.044,12.608,5.109,0.12,5.157,31.751,1852.944,228.787,1514.745,1179.044,84.66,21.834,78.554,4508.433,24.799,140.44
953,0.0,1.719,5.255,22.427,0.003,21.393,6.092,25.133,1853.07,285.703,1483.488,1162.085,61.068,76.814,77.553,4470.712,10.122,162.124,0.0,1.081,0.638,16.372,0.386,6.253,5.685,32.238,1853.717,241.529,1503.01,1173.104,77.458,38.874,78.013,4492.214,18.085,150.235,4.286,0.883,0.031,10.499,6.014,0.141,4.913,32.207,1850.407,209.998,1518.31,1180.179,85.105,12.155,78.734,4491.763,25.941,138.601
954,0.0,1.733,4.993,21.524,0.002,24.275,5.953,25.338,1851.899,269.965,1481.111,1160.421,57.907,78.237,77.6,4445.537,8.426,164.28,0.0,1.03,0.596,14.48,0.375,6.426,5.546,33.33,1852.062,222.966,1503.49,1172.333,77.297,33.859,78.092,4473.269,17.719,150.537,4.63,0.808,0.022,7.649,7.526,0.194,4.588,32.918,1847.7,187.751,1521.768,1177.871,85.537,6.305,78.99,4471.28,27.404,136.222
955,0.0,1.872,5.906,20.02,0.002,25.871,5.851,25.673,1850.577,255.68,1481.454,1157.615,56.549,77.715,77.75,4426.788,8.381,164.065,0.0,0.925,0.427,12.542,0.705,6.275,5.385,34.258,1850.162,205.574,1505.072,1169.885,77.603,30.314,78.263,4456.707,17.788,150.142,4.674,0.756,0.02,5.864,7.954,0.283,4.417,33.846,1845.786,171.677,1521.517,1173.525,85.563,5.969,79.121,4453.466,27.199,136.239
956,0.0,1.843,6.243,21.05,0.003,24.551,5.808,26.115,1848.4,242.2,1483.966,1155.135,58.41,71.475,77.928,4417.15,9.14,162.957,0.0,0.888,0.403,11.402,0.819,6.026,5.315,34.64,1847.998,192.923,1505.734,1166.791,78.147,27.556,78.417,4443.37,17.983,149.669,4.68,0.734,0.021,5.096,7.202,0.313,4.44,34.584,1844.281,162.564,1519.221,1170.05,85.491,6.204,79.145,4440.519,26.081,137.643
957,0.0,1.825,6.21,22.043,0.002,24.448,5.761,26.441,1847.181,233.988,1483.5,1151.997,58.922,69.513,78.021,4407.493,8.977,163.22,0.0,0.886,0.434,11.935,0.661,6.065,5.28,34.976,1846.357,184.153,1504.458,1163.288,78.408,26.194,78.497,4431.358,17.798,149.855,4.783,0.709,0.021,4.988,6.981,0.334,4.41,34.995,1842.467,153.779,1517.562,1166.323,85.705,5.356,79.229,4427.955,25.821,137.876
958,0.0,1.674,5.801,23.54,0.002,27.183,5.704,26.659,1846.652,226.298,1479.533,1147.508,56.386,75.274,78.058,4389.475,7.634,165.019,0.0,0.879,0.462,12.026,0.51,6.551,5.223,35.646,1845.313,175.567,1501.692,1159.183,78.12,26.828,78.548,4417.598,17.166,150.638,4.996,0.674,0.017,4.23,7.698,0.374,4.245,35.448,1840.457,142.515,1516.467,1161.652,86.125,4.172,79.392,4413.14,26.467,136.77
959,0.0,2.111,8.264,24.642,0.002,28.99,5.606,26.907,1847.454,228.62,1476.869,1142.874,55.009,78.805,78.153,4382.936,7.541,165.043,0.0,0.853,0.427,12.425,0.751,7.099,5.128,36.119,1844.258,168.68,1499.278,1154.717,77.802,28.099,78.656,4405.35,16.613,151.259,4.917,0.653,0.019,4.384,7.829,0.449,4.167,36.007,1839.161,135.373,1512.968,1157.035,86.241,5.055,79.468,4400.58,25.854,137.483
960,0.0,2.134,10.449,26.653,0.002,31.899,5.696,27.162,1849.217,236.062,1473.733,1138.785,52.407,85.948,78.24,4379.663,6.72,166.231,0.0,0.884,0.502,13.061,0.598,7.798,5.112,36.686,1844.332,168.812,1496.424,1150.912,77.262,30.393,78.741,4399.487,15.744,152.399,4.948,0.647,0.019,4.621,7.948,0.408,4.099,36.515,1838.436,132.277,1509.746,1153.601,86.511,5.096,79.579,4392.795,25.355,138.058
961,0.0,3.139,14.377,27.897,0.002,32.649,5.721,27.434,1850.741,242.97,1472.056,1135.668,52.187,87.654,78.38,4382.082,6.908,166.016,0.0,0.939,0.575,14.223,0.769,8.915,5.126,36.916,1844.647,171.303,1494.052,1147.539,76.324,33.734,78.878,4395.881,14.775,153.73,4.699,0.659,0.027,5.815,7.585,0.497,4.155,36.981,1838.792,134.778,1505.794,1150.97,86.422,7.194,79.651,4390.677,23.766,140.275
962,0.0,2.742,16.315,30.188,0.002,33.105,5.716,27.656,1852.75,256.142,1470.464,1133.852,52.17,89.395,78.514,4391.652,6.58,166.487,0.0,0.986,0.676,15.598,0.601,9.548,5.155,37.133,1845.808,178.9,1492.02,1145.532,75.9,36.243,79.003,4399.483,13.817,155.109,4.609,0.68,0.029,7.089,7.294,0.424,4.216,37.266,1839.716,140.425,1503.381,1149.927,86.609,8.078,79.775,4394.283,22.528,142.055
963,0.0,4.495,23.424,33.745,0.002,32.243,5.801,27.814,1855.739,272.748,1470.356,1133.256,54.045,86.679,78.692,4410.162,7.008,165.922,0.0,1.148,0.952,18.129,0.632,10.401,5.202,37.074,1847.57,190.71,1491.349,1144.34,75.495,38.705,79.173,4408.604,13.201,156.021,4.327,0.724,0.046,9.527,6.705,0.568,4.34,37.401,1841.608,151.472,1501.39,1149.306,86.575,10.685,79.876,4403.96,20.871,144.493
964,0.0,5.073,30.286,34.896,0.003,27.543,5.932,27.809,1858.592,290.568,1474.066,1134.83,59.684,77.108,78.904,4442.87,8.264,164.453,0.0,1.425,1.684,21.617,0.474,11.163,5.367,36.301,1850.76,212.548,1493.273,1144.278,75.405,42.343,79.353,4431.624,12.553,157.191,3.869,0.828,0.092,14.29,5.196,0.916,4.687,36.995,1845.579,175.604,1501.342,1149.919,86.383,16.633,79.916,4429.965,18.161,148.638
965,0.0,5.491,28.854,38.237,0.003,25.708,6.034,27.466,1860.898,306.357,1477.42,1136.664,62.392,75.958,79.029,4469.546,8.47,164.512,0.0,1.508,1.939,25.263,0.32,11.171,5.549,35.246,1854.141,234.199,1495.317,1145.394,76.115,45.572,79.466,4458.137,12.159,158.147,3.738,0.89,0.102,18.222,4.602,0.675,4.942,36.016,1849.385,198.461,1504.336,1151.761,87.232,19.512,80.022,4459.632,17.325,150.23
966,0.0,6.296,30.62,40.562,0.003,24.497,6.117,26.993,1864.235,329.876,1481.647,1138.936,64.74,74.957,79.161,4502.846,8.948,164.242,0.0,1.672,2.334,28.989,0.306,11.163,5.674,34.302,1857.376,254.736,1499.133,1147.375,77.116,47.662,79.593,4486.154,12.221,158.458,3.542,0.958,0.13,22.429,4.241,0.831,5.13,35.05,1852.906,219.06,1507.946,1153.694,87.904,22.718,80.114,4487.501,16.867,151.3
967,0.0,5.101,25.526,38.494,0.003,24.868,6.311,26.554,1865.957,338.844,1485.334,1140.957,64.608,79.718,79.256,4519.004,8.565,165.116,0.0,1.548,1.91,30.303,0.277,11.165,5.815,33.641,1860.378,271.297,1503.013,1149.57,77.832,50.291,79.692,4510.717,12.085,159.04,3.59,0.961,0.1,24.47,4.467,0.499,5.224,34.268,1855.93,235.341,1513.498,1156.608,89.182,23.076,80.263,4514.266,17.309,151.053
968,0.001,6.46,25.881,35.899,0.003,25.133,6.404,26.283,1868.825,349.639,1489.743,1143.465,64.889,80.91,79.388,4537.227,8.587,165.103,0.0,1.615,1.836,29.121,0.323,10.669,5.917,33.405,1862.502,278.242,1507.966,1152.465,78.936,49.436,79.833,4527.782,12.519,158.625,3.57,0.972,0.099,24.02,4.676,0.491,5.301,33.907,1858.027,242.334,1518.533,1159.364,89.875,22.443,80.41,4530.109,17.865,150.518
969,0.0,6.678,30.117,36.707,0.003,24.582,6.493,26.098,1873.652,372.977,1496.01,1146.427,66.304,79.824,79.534,4570.701,8.944,164.742,0.0,1.754,2.345,28.644,0.289,11.165,6.022,33.046,1866.123,294.662,1514.201,1155.081,79.127,51.287,79.973,4552.786,12.523,158.777,3.439,1.02,0.128,23.478,4.383,0.644,5.452,33.586,1861.346,256.563,1524.298,1161.882,90.307,24.668,80.516,4553.854,17.605,151.086
970,0.0,4.89,24.704,32.721,0.003,23.332,6.425,25.878,1874.242,371.168,1503.252,1149.535,68.382,78.632,79.658,4585.214,9.266,164.424,0.0,1.656,2.069,27.825,0.295,10.711,6.102,32.472,1869.265,308.336,1520.532,1157.958,80.348,52.194,80.089,4578.465,12.577,158.914,3.349,1.041,0.124,23.481,4.068,0.629,5.608,33.079,1865.227,274.204,1530.683,1164.669,90.972,27.2,80.604,4582.393,17.227,151.86
971,0.0,4.409,20.31,31.445,0.003,22.732,6.468,25.619,1875.244,372.808,1508.874,1152.309,69.375,78.578,79.748,4598.073,9.421,164.337,0.0,1.546,1.649,25.642,0.305,9.768,6.104,32.055,1870.735,310.782,1526.019,1160.981,82.073,50.225,80.181,4593.466,13.114,158.308,3.445,1.025,0.098,21.302,4.202,0.41,5.591,32.582,1867.007,277.996,1536.996,1167.833,92.081,25.287,80.718,4597.491,17.957,150.984
972,0.0,5.075,20.865,29.969,0.003,21.85,6.474,25.426,1877.68,381.396,1515.044,1155.199,70.623,75.986,79.857,4616.893,9.966,163.617,0.0,1.607,1.708,24.504,0.328,9.358,6.126,31.768,1872.697,316.511,1532.214,1163.84,83.034,48.24,80.29,4609.259,13.716,157.573,3.405,1.038,0.106,20.154,4.134,0.46,5.62,32.264,1868.899,282.967,1542.751,1170.332,92.638,24.354,80.807,4611.34,18.416,150.478
973,0.0,2.878,13.027,25.073,0.003,22.586,6.53,25.292,1876.028,364.378,1519.685,1157.195,70.006,77.358,79.931,4608.004,9.53,164.295,0.0,1.374,1.153,21.803,0.33,9.025,6.127,31.679,1873.626,313.612,1537.208,1166.205,83.746,46.388,80.372,4615.648,13.905,157.369,3.58,1.004,0.068,17.744,4.535,0.299,5.556,32.078,1870.106,281.716,1549.578,1173.103,93.374,21.029,80.95,4620.108,19.352,149.196
974,0.0,2.545,8.835,20.571,0.004,19.977,6.449,25.249,1873.719,345.788,1525.046,1159.285,72.896,67.923,80.053,4602.191,10.491,162.708,0.0,1.243,0.802,17.779,0.492,7.256,6.089,31.651,1872.373,298.557,1542.329,1168.582,86.043,38.5,80.496,4612.41,15.136,155.582,3.645,0.972,0.056,14.345,4.613,0.303,5.528,32.053,1869.642,270.785,1553.969,1174.482,93.838,17.286,81.046,4615.809,20.06,148.205
