t_saat,KOI_giris,NH4_giris,PO4_giris,DO,KOI_cikis,NH4_cikis,PO4_cikis,SO2,SF,SA,SNH4,SNO3,SPO4,SALK,SN2,XI,XS,XH,XPAO,XPP,XPHA,XAUT,XTSS,XMeOH,XMeP
1373,495.34,49.712,9.686,0.097,122.42,32.676,30.099,0.097,1.384,1.096,32.676,0.061,30.099,6.05,33.109,1931.547,232.828,1474.515,1119.426,55.871,118.565,77.415,4451.559,3.229,169.2
1374,475.179,54.39,8.024,0.09,120.297,38.04,38.737,0.09,1.539,1.377,38.04,0.051,38.737,6.253,30.783,1934.824,267.312,1458.422,1111.843,42.885,154.86,76.629,4438.307,2.522,170.519
1375,548.447,46.086,7.334,2.931,118.068,35.814,20.047,2.931,1.209,0.295,35.814,3.302,20.047,6.18,29.747,1938.103,281.04,1467.952,1122.358,55.542,143.958,76.955,4503.666,3.706,169.26
1376,516.8,40.457,7.699,3.004,122.745,33.082,5.803,3.004,1.151,0.207,33.082,3.977,5.803,6.197,30.073,1941.636,298.837,1478.101,1131.423,67.006,133.603,77.123,4566.948,6.684,165.309
1377,381.084,37.318,5.749,3.047,99.682,30.251,0.586,3.047,1.173,0.187,30.251,3.773,0.586,6.175,30.447,1944.794,314.879,1486.183,1139.26,72.944,126.907,77.212,4609.041,11.634,158.484
1378,429.129,33.648,5.563,3.167,110.81,27.201,0.29,3.167,1.187,0.17,27.201,3.692,0.29,6.076,30.427,1946.019,322.99,1494.548,1147.079,74.712,118.141,77.294,4629.767,15.482,153.269
1379,427.3,34.384,6.039,3.167,103.793,24.162,0.287,3.167,1.19,0.17,24.162,3.774,0.287,6.012,30.506,1947.194,327.129,1503.268,1154.867,75.711,110.394,77.385,4646.585,17.354,150.712
1380,280.909,28.372,4.382,3.17,99.546,21.745,0.261,3.17,1.17,0.144,21.745,3.638,0.261,6.017,30.51,1948.013,331.141,1511.163,1162.159,76.447,103.511,77.444,4661.955,18.048,149.797
1381,191.005,20.792,3.041,3.414,91.803,18.469,0.139,3.414,1.127,0.088,18.469,3.96,0.139,5.861,30.466,1946.068,317.725,1518.553,1170.013,77.212,89.86,77.533,4657.862,19.723,147.468
1382,258.581,15.03,5.349,3.556,97.101,14.545,0.115,3.556,1.099,0.076,14.545,4.265,0.115,5.682,30.656,1942.899,295.458,1524.441,1177.376,77.77,72.983,77.609,4641.632,21.639,144.731
1383,276.476,24.831,4.147,3.647,95.744,10.774,0.122,3.647,1.06,0.071,10.774,4.384,0.122,5.527,30.91,1940.158,277.303,1529.501,1184.038,78.248,57.744,77.667,4628.477,22.707,143.175
1384,210.282,28.228,3.815,3.801,94.69,8.541,0.115,3.801,1.022,0.058,8.541,4.6,0.115,5.339,31.179,1937.6,260.509,1534.045,1190.069,78.532,43.603,77.727,4615.624,23.287,142.254
1385,242.821,20.5,5.736,3.98,95.891,7.183,0.114,3.98,0.977,0.048,7.183,4.895,0.114,5.165,31.498,1934.6,240.737,1537.636,1194.78,78.819,30.01,77.785,4598.393,24.018,141.075
1386,195.465,29.423,4.988,4.154,89.156,5.839,0.135,4.154,0.919,0.04,5.839,5.111,0.135,5.054,31.845,1931.684,222.33,1539.99,1197.367,79.172,19.404,77.832,4581.331,24.476,140.282
1387,259.768,35.75,6.299,4.453,99.505,4.912,0.159,4.453,0.859,0.032,4.912,5.662,0.159,4.871,32.227,1928.604,202.361,1542.147,1197.439,79.665,11.007,77.914,4562.086,25.399,138.767
1388,263.583,30.518,6.077,4.778,101.665,3.946,0.226,4.778,0.788,0.023,3.946,6.818,0.226,4.603,32.793,1925.624,181.349,1544.262,1194.471,80.194,6.329,78.062,4541.562,26.599,136.77
1389,325.563,42.544,6.019,4.554,105.368,4.725,0.355,4.554,0.754,0.028,4.725,6.432,0.355,4.575,33.454,1923.838,171.046,1541.335,1190.453,80.064,7.783,78.05,4527.203,25.034,138.851
1390,395.503,38.966,8.152,4.769,113.235,5.204,0.302,4.769,0.73,0.024,5.204,6.791,0.302,4.451,33.915,1921.782,161.696,1540.889,1187.526,80.509,5.796,78.188,4515.8,25.089,138.612
1391,398.937,43.672,5.477,4.745,113.515,5.232,0.412,4.745,0.7,0.023,5.232,7.489,0.412,4.305,34.545,1920.289,153.313,1539.616,1183.635,80.697,6.198,78.342,4504.678,24.74,138.911
1392,437.064,43.053,8.627,4.832,117.137,5.288,0.367,4.832,0.684,0.021,5.288,8.012,0.367,4.206,35.256,1919.096,147.026,1538.04,1180.635,81.023,5.765,78.5,4495.79,24.548,139.003
1393,400.344,47.704,8.028,5.021,111.422,4.463,0.383,5.021,0.653,0.017,4.463,9.19,0.383,4.005,36.039,1917.522,137.286,1536.964,1176.951,81.497,4.795,78.72,4483.606,25.274,137.72
1394,412.512,51.08,9.159,4.747,113.17,5.381,0.479,4.747,0.647,0.021,5.381,8.78,0.479,4.04,36.923,1917.158,135.097,1532.013,1174.097,81.419,7.384,78.761,4476.574,23.666,139.896
1395,502.435,64.869,7.822,4.426,116.156,8.53,0.499,4.426,0.684,0.036,8.53,7.179,0.499,4.278,37.362,1917.598,142.316,1526.943,1173.581,81.453,10.076,78.774,4480.134,21.28,143.388
1396,541.273,50.113,7.782,4.105,128.279,13.327,0.632,4.105,0.758,0.068,13.327,5.81,0.632,4.553,37.197,1918.879,158.426,1525.303,1173.719,81.559,13.439,78.852,4495.293,19.397,146.308
1397,521.464,53.784,7.985,3.89,121.708,16.87,0.674,3.89,0.827,0.091,16.87,5.132,0.674,4.775,36.657,1920.881,178.235,1526.757,1174.845,81.888,17.076,78.977,4518.188,18.092,148.472
1398,530.715,50.414,9.141,3.64,123.671,20.121,0.831,3.64,0.908,0.122,20.121,4.541,0.831,5.029,35.886,1923.276,201.718,1529.198,1176.545,82.266,21.516,79.075,4546.161,16.954,150.474
1399,490.706,46.078,8.148,3.433,112.161,22.754,0.928,3.433,0.997,0.159,22.754,4.037,0.928,5.34,34.878,1925.916,228.789,1533.627,1178.847,83.035,26.202,79.159,4580.589,16.198,151.946
1400,452.376,41.622,6.608,3.309,106.261,24.001,0.847,3.309,1.049,0.171,24.001,3.787,0.847,5.595,33.853,1927.877,252.318,1539.431,1181.728,84.005,30.414,79.242,4613.733,15.98,152.639
1401,404.802,38.687,5.857,3.34,110.099,23.684,0.536,3.34,1.043,0.137,23.684,3.904,0.536,5.733,33.053,1928.64,267.384,1545.836,1185.333,85.14,31.487,79.35,4639.008,16.643,151.963
1402,389.222,31.623,7.066,3.362,100.774,22.429,0.446,3.362,1.034,0.117,22.429,4.017,0.446,5.754,32.555,1928.408,274.524,1551.778,1188.975,85.986,30.51,79.455,4654.968,17.421,151.098
1403,388.27,25.759,6.335,3.413,106.243,20.03,0.39,3.413,1.029,0.104,20.03,4.143,0.39,5.73,32.226,1927.668,278.903,1557.797,1192.483,86.89,28.166,79.565,4667.788,18.116,150.306
1404,294.004,25.82,4.891,3.545,100.21,16.876,0.302,3.545,0.997,0.073,16.876,4.497,0.302,5.628,32.127,1926.356,276.43,1563.918,1195.845,87.693,24.295,79.701,4673.649,18.898,149.295
1405,185.699,32.499,4.73,3.575,91.038,14.87,0.292,3.575,0.97,0.06,14.87,4.291,0.292,5.552,31.982,1923.953,268.837,1567.486,1197.712,88.212,20.697,79.763,4670.504,19.394,148.689
1406,196.074,24.187,5.694,3.97,88.716,13.198,0.195,3.97,0.93,0.04,13.198,4.902,0.195,5.383,31.839,1920.401,248.09,1572.128,1198.38,89.238,12.196,79.912,4654.39,21.821,145.245
1407,173.248,19.885,2.919,4.132,87.928,11.017,0.283,4.132,0.865,0.032,11.017,5.57,0.283,5.199,32.136,1917.221,225.851,1575.092,1195.758,89.875,8.085,80.075,4634.633,23.415,142.911
1408,214.781,29.849,5.178,4.317,87.527,8.886,0.333,4.317,0.817,0.028,8.886,5.833,0.333,5.055,32.462,1914.118,205.903,1576.62,1191.51,90.285,6.002,80.211,4614.506,24.577,141.161
1409,261.582,24.665,3.967,4.718,92.698,6.428,0.379,4.718,0.758,0.019,6.428,7.295,0.379,4.76,32.999,1910.7,183.228,1579.798,1186.005,90.918,3.591,80.488,4592.535,26.612,137.974
1410,77.967,26.449,5.231,4.644,86.532,5.184,0.446,4.644,0.717,0.017,5.184,7.553,0.446,4.634,33.817,1908.242,167.558,1578.234,1180.363,90.883,4.893,80.589,4573.166,26.116,138.424
1411,204.653,26.213,6.166,4.962,92.942,4.114,0.388,4.962,0.674,0.015,4.114,7.615,0.388,4.515,34.412,1905.464,149.649,1576.03,1174.891,91.373,3.206,80.688,4550.848,26.956,137.027
1412,238.965,37.605,4.557,5.107,93.837,3.188,0.522,5.107,0.629,0.014,3.188,7.868,0.522,4.373,35.03,1902.76,134.155,1572.531,1167.981,91.708,3.116,80.762,4528.358,27.732,135.684
1413,429.2,34.582,7.376,5.255,118.013,2.76,0.511,5.255,0.6,0.014,2.76,8.132,0.511,4.254,35.622,1900.143,123.386,1567.99,1161.694,92.022,3.059,80.817,4509.197,28.088,134.923
1414,318.789,35.272,8.308,5.553,102.179,1.848,0.528,5.553,0.574,0.012,1.848,9.037,0.528,4.052,36.286,1897.577,113.725,1563.917,1155.399,92.377,2.762,80.888,4491.083,28.838,133.528
1415,427.538,33.309,6.658,5.224,121.997,2.384,0.533,5.224,0.57,0.016,2.384,8.492,0.533,4.082,37.008,1896.292,112.035,1556.006,1150.742,92.178,5.035,80.764,4478.716,26.953,135.981
1416,521.702,42.226,7.475,4.99,125.643,3.197,0.442,4.99,0.592,0.022,3.197,7.658,0.442,4.189,37.459,1895.597,116.509,1548.418,1148.658,92.085,6.464,80.729,4474.141,24.809,138.895
1417,454.197,51.441,8.01,0.193,114.573,8.404,1.583,0.193,0.673,0.127,8.404,1.665,1.583,4.943,39.538,1895.801,135.608,1536.369,1145.514,90.48,14.633,79.951,4475.464,21.12,144.086
1418,501.302,50.445,8.809,0.133,112.001,15.038,7.048,0.133,0.973,0.478,15.038,0.131,7.048,5.398,37.894,1895.994,160.517,1518.031,1140.005,83.464,37.425,79.234,4466.538,13.134,155.413
1419,528.176,49.286,9.08,0.122,120.089,20.438,12.289,0.122,1.057,0.536,20.438,0.106,12.289,5.673,36.095,1895.657,180.414,1500.432,1134.938,76.833,59.676,78.557,4454.483,7.387,163.511
1420,552.589,54.323,8.24,0.106,130.346,26.344,22.063,0.106,1.252,0.865,26.344,0.075,22.063,5.919,34.039,1896.902,208.021,1482.041,1128.507,65.776,91.591,77.845,4437.95,4.422,167.851
1421,498.41,51.68,8.45,0.093,120.053,32.955,32.955,0.093,1.466,1.266,32.955,0.055,32.955,6.133,31.572,1898.907,246.496,1465.23,1120.869,51.811,130.285,77.062,4424.648,2.978,170.232
1422,535.603,44.772,7.679,0.084,118.772,38.052,41.305,0.084,1.658,1.735,38.052,0.043,41.305,6.266,29.449,1900.42,284.842,1449.839,1112.896,38.114,168.118,76.262,4411.89,2.395,171.452
1423,478.045,46.361,7.914,2.9,117.87,34.398,21.624,2.9,1.269,0.332,34.398,3.327,21.624,6.159,28.747,1902.091,300.633,1462.154,1123.825,51.139,156.801,76.594,4481.383,3.529,170.213
1424,437.172,43.924,6.076,2.97,107.798,31.807,7.001,2.97,1.18,0.218,31.807,3.921,7.001,6.165,29.339,1902.72,310.246,1472.575,1132.822,62.614,146.497,76.75,4536.703,6.283,166.6
1425,514.338,35.104,6.76,3.033,113.201,29.58,0.597,3.033,1.221,0.225,29.58,3.778,0.597,6.107,29.871,1903.16,321.261,1481.401,1140.959,69.391,138.618,76.847,4575.981,11.423,159.63
1426,315.902,37.612,7.11,3.144,103.056,26.575,0.322,3.144,1.197,0.172,26.575,3.778,0.322,5.993,30.104,1903.669,333.499,1491.085,1149.052,71.173,131.872,76.945,4602.011,15.074,154.656
1427,401.032,43.712,6.087,3.023,100.918,25.267,0.363,3.023,1.238,0.204,25.267,3.259,0.363,5.957,30.056,1902.215,339.121,1498.197,1155.927,72.456,125.43,76.956,4617.585,16.669,152.633
1428,298.249,27.314,5.879,3.234,97.576,24.068,0.203,3.234,1.193,0.139,24.068,3.567,0.203,5.824,29.844,1900.468,342.804,1507.643,1163.867,73.799,115.181,77.04,4632.326,18.542,150.137
1429,267.431,31.73,4.467,3.422,100.515,20.619,0.139,3.422,1.146,0.091,20.619,4.338,0.139,5.648,30.153,1897.569,328.155,1516.197,1172.623,74.662,99.457,77.18,4627.515,20.167,147.803
1430,206.541,24.762,4.184,3.515,91.817,17.682,0.121,3.515,1.109,0.074,17.682,4.638,0.121,5.519,30.676,1894.459,308.058,1522.917,1180.598,75.161,83.651,77.282,4615.012,21.255,146.172
1431,226.579,20.215,4.751,3.558,94.604,14.973,0.117,3.558,1.08,0.072,14.973,4.353,0.117,5.476,31.016,1891.359,288.565,1527.347,1187.251,75.566,68.638,77.317,4599.991,22.065,144.98
1432,239.985,25.437,4.102,3.841,94.396,11.559,0.088,3.841,1.057,0.057,11.559,4.826,0.088,5.283,31.271,1887.947,266.138,1533.136,1194.255,76.212,50.259,77.422,4582.388,23.862,142.29
1433,153.581,27.365,3.725,4.25,89.964,7.894,0.069,4.25,1.008,0.035,7.894,6.481,0.069,4.89,31.883,1884.515,235.667,1540.456,1201.036,76.841,29.7,77.634,4558.173,26.357,138.432
1434,250.868,32.478,5.746,4.149,94.265,6.639,0.127,4.149,0.9,0.035,6.639,6.35,0.127,4.784,32.743,1882.396,214.488,1540.408,1202.787,76.699,21.456,77.641,4536.945,25.63,139.267
1435,133.509,35.876,5.59,4.432,86.551,6.195,0.124,4.432,0.855,0.028,6.195,6.11,0.124,4.702,33.301,1879.709,196.258,1541.099,1203.6,77.036,12.817,77.694,4518.268,25.922,138.68
1436,230.132,39.807,5.352,4.784,102.399,5.137,0.179,4.784,0.773,0.021,5.137,7.187,0.179,4.443,33.839,1876.734,172.955,1542.513,1200.911,77.657,6.29,77.868,4494.714,27.517,136.143
1437,243.362,34.849,6.716,4.815,92.79,5.092,0.273,4.815,0.713,0.019,5.092,7.583,0.273,4.308,34.518,1874.368,155.956,1540.303,1195.741,77.912,5.492,77.966,4473.716,27.637,135.759
1438,340.229,37.797,8.068,5.086,107.134,4.434,0.308,5.086,0.665,0.015,4.434,8.363,0.308,4.137,35.198,1871.667,140.67,1538.558,1190.572,78.393,3.747,78.138,4454.108,28.377,134.461
1439,431.375,49.896,7.172,5.235,122.568,3.406,0.398,5.235,0.624,0.014,3.406,9.413,0.398,3.929,35.992,1869.223,127.541,1535.854,1184.435,78.748,3.614,78.297,4435.171,28.874,133.454
1440,401.811,39.639,7.526,4.832,111.745,4.937,0.433,4.832,0.63,0.021,4.937,8.281,0.433,4.055,36.802,1868.688,128.403,1528.693,1180.82,78.461,6.532,78.247,4427.54,26.143,137.23
1441,492.48,54.543,8.942,4.805,123.879,6.238,0.347,4.805,0.648,0.023,6.238,7.644,0.347,4.116,37.197,1868.072,131.994,1524.449,1178.935,78.664,6.49,78.342,4425.529,24.67,139.259
1442,499.557,56.249,6.972,4.493,120.352,8.491,0.512,4.493,0.68,0.037,8.491,6.977,0.512,4.236,37.438,1868.318,140.061,1520.805,1177.016,78.583,9.045,78.435,4428.951,22.644,142.125
1443,596.464,55.951,8.34,4.273,120.234,11.797,0.516,4.273,0.738,0.056,11.797,6.251,0.516,4.425,37.382,1869.437,153.998,1519.445,1176.814,78.684,11.471,78.556,4441.641,20.78,144.901
1444,444.345,45.167,7.945,3.942,114.664,15.36,0.705,3.942,0.81,0.08,15.36,5.414,0.705,4.665,37.063,1871.738,174.955,1519.998,1177.466,78.638,16.136,78.661,4464.071,18.678,148.161
1445,447.592,48.0,6.842,3.856,114.864,17.538,0.526,3.856,0.848,0.079,17.538,4.974,0.526,4.87,36.358,1872.989,190.822,1521.784,1179.106,79.373,17.756,78.783,4484.02,17.961,149.45
1446,512.219,41.148,8.446,3.945,112.986,18.03,0.398,3.945,0.853,0.068,18.03,5.425,0.398,4.926,35.904,1873.323,197.186,1524.962,1181.031,80.283,16.196,78.983,4495.633,18.673,148.551
1447,401.242,52.443,7.256,3.634,108.932,19.228,0.773,3.634,0.908,0.102,19.228,4.774,0.773,5.195,35.532,1874.886,211.471,1526.99,1182.192,80.412,20.451,79.066,4514.139,17.494,150.435
1448,479.35,40.101,7.452,3.597,115.223,21.223,0.564,3.597,0.947,0.113,21.223,4.355,0.564,5.411,34.707,1875.706,224.453,1530.949,1184.343,81.42,21.912,79.171,4534.474,17.41,150.777
1449,443.401,38.541,7.026,3.426,112.076,21.743,0.727,3.426,0.995,0.133,21.743,4.003,0.727,5.622,33.92,1877.311,241.907,1535.354,1186.382,82.01,25.124,79.255,4558.856,17.05,151.517
1450,343.13,38.808,6.308,3.457,101.491,21.375,0.471,3.457,0.999,0.107,21.375,3.962,0.471,5.762,33.075,1878.255,257.368,1540.485,1188.971,83.173,25.078,79.351,4581.927,17.537,151.033
1451,305.011,37.258,4.988,3.439,95.876,21.17,0.43,3.439,0.997,0.097,21.17,3.837,0.43,5.836,32.359,1877.532,262.737,1544.734,1191.042,84.037,23.889,79.421,4593.224,18.196,150.357
1452,318.885,24.425,5.012,3.632,95.501,19.839,0.288,3.632,0.976,0.072,19.839,4.188,0.288,5.758,31.826,1875.71,260.914,1549.619,1192.96,84.998,19.236,79.541,4596.488,19.721,148.288
1453,289.477,23.741,4.728,3.902,100.324,16.414,0.242,3.902,0.932,0.046,16.414,5.206,0.242,5.558,31.92,1873.71,249.616,1555.299,1194.041,85.752,13.316,79.752,4590.895,21.419,145.813
1454,224.991,23.637,5.079,3.958,94.085,13.463,0.309,3.958,0.891,0.038,13.463,5.562,0.309,5.43,32.336,1871.8,236.577,1558.611,1193.038,86.082,10.944,79.905,4581.244,21.897,145.036
1455,247.511,26.905,4.516,4.074,93.66,11.302,0.327,4.074,0.865,0.037,11.302,5.402,0.327,5.319,32.556,1869.259,223.641,1560.7,1190.827,86.549,8.765,80.015,4569.509,22.473,144.143
1456,170.953,26.109,5.005,4.309,86.521,9.374,0.329,4.309,0.824,0.028,9.374,5.872,0.329,5.117,32.777,1866.433,207.467,1563.356,1187.433,87.134,6.391,80.19,4554.538,23.701,142.237
1457,219.484,32.567,4.348,4.535,87.526,7.517,0.379,4.535,0.772,0.022,7.517,6.712,0.379,4.887,33.233,1863.619,187.229,1565.117,1182.519,87.67,4.692,80.394,4534.533,25.039,140.126
1458,276.8,23.559,5.629,4.511,95.208,6.927,0.453,4.511,0.74,0.023,6.927,6.631,0.453,4.786,33.721,1861.274,173.955,1563.815,1177.277,87.854,5.116,80.493,4517.694,25.068,139.922
1459,294.179,23.939,5.087,4.764,97.721,5.456,0.412,4.764,0.712,0.02,5.456,7.104,0.412,4.602,34.141,1858.921,162.257,1563.708,1172.307,88.354,4.047,80.667,4503.17,25.852,138.591
1460,221.464,27.191,4.727,4.796,92.791,4.163,0.46,4.796,0.686,0.019,4.163,7.3,0.46,4.474,34.719,1857.119,152.309,1561.778,1167.2,88.493,4.741,80.761,4488.828,25.699,138.6
1461,268.354,38.602,6.179,5.025,97.817,3.264,0.401,5.025,0.661,0.017,3.264,7.439,0.401,4.369,35.204,1854.969,141.617,1559.246,1162.4,88.866,3.935,80.83,4472.988,26.147,137.759
1462,310.91,41.6,6.858,5.42,101.403,2.093,0.481,5.42,0.618,0.014,2.093,8.537,0.481,4.133,35.786,1852.349,126.924,1557.327,1156.161,89.384,2.797,80.939,4452.752,27.76,135.146
1463,407.918,49.029,7.376,5.425,115.152,1.963,0.537,5.425,0.587,0.014,1.963,8.938,0.537,4.012,36.493,1850.466,116.529,1552.234,1150.015,89.539,3.655,80.889,4434.086,27.782,134.814
1464,462.53,43.585,6.504,5.09,127.174,3.103,0.47,5.09,0.584,0.017,3.103,8.454,0.47,4.032,37.186,1850.021,115.253,1544.394,1146.377,89.475,5.247,80.838,4423.704,26.119,137.012
1465,412.71,42.299,8.412,0.216,115.448,8.371,1.055,0.216,0.62,0.084,8.371,2.553,1.055,4.743,39.529,1850.676,128.13,1531.861,1143.109,88.502,10.932,80.081,4420.476,23.019,141.368
1466,443.795,48.335,8.374,0.156,119.265,13.196,3.257,0.156,0.841,0.314,13.196,0.227,3.257,5.213,39.2,1851.084,143.006,1515.722,1138.975,85.434,23.579,79.422,4412.909,17.848,148.671
1467,537.73,50.786,8.286,0.134,128.575,17.84,7.321,0.134,0.952,0.437,17.84,0.135,7.321,5.499,37.474,1851.484,157.829,1497.167,1133.828,80.07,42.298,78.769,4398.942,11.424,157.725
1468,415.359,58.789,8.865,0.121,116.602,23.081,13.702,0.121,1.064,0.562,23.081,0.104,13.702,5.774,35.698,1853.012,176.968,1478.949,1128.442,72.562,66.191,78.097,4384.701,6.78,164.39
1469,586.657,50.95,8.157,0.11,123.691,29.251,21.692,0.11,1.206,0.766,29.251,0.082,21.692,6.039,33.679,1854.997,199.762,1461.125,1122.377,63.19,94.366,77.388,4369.013,4.363,168.04
1470,523.487,53.384,6.889,0.099,120.623,34.599,30.408,0.099,1.385,1.071,34.599,0.064,30.408,6.258,31.72,1858.279,231.064,1444.94,1115.794,51.863,127.171,76.651,4357.66,3.182,169.988
1471,459.248,49.027,6.435,3.144,117.226,32.421,13.889,3.144,1.044,0.182,32.421,3.824,13.889,6.1,30.688,1861.721,241.465,1451.999,1126.959,64.661,115.958,77.06,4419.074,4.595,168.227
1472,523.352,43.504,7.594,3.014,117.703,31.683,3.517,3.014,1.135,0.231,31.683,3.637,3.517,6.183,30.847,1865.661,261.975,1458.039,1134.294,73.465,109.926,77.134,4473.366,8.106,163.75
1473,432.219,39.918,5.119,3.151,107.839,29.896,0.473,3.151,1.159,0.203,29.896,3.579,0.473,6.138,30.654,1869.958,284.919,1466.674,1141.801,77.74,105.113,77.226,4517.777,12.97,157.333
1474,356.386,29.621,6.84,3.312,99.628,27.023,0.256,3.312,1.111,0.13,27.023,3.986,0.256,5.964,30.66,1872.101,291.756,1474.517,1149.853,79.214,96.386,77.355,4537.295,16.254,152.887
1475,464.004,35.526,4.713,3.315,110.543,23.622,0.244,3.315,1.117,0.13,23.622,4.031,0.244,5.905,30.809,1873.425,293.331,1481.162,1157.414,80.2,86.761,77.447,4549.2,17.967,150.627
1476,304.797,36.262,4.534,3.25,98.156,21.773,0.265,3.25,1.129,0.134,21.773,3.665,0.265,5.89,30.762,1875.819,303.095,1487.764,1164.034,80.704,80.444,77.492,4567.976,18.538,149.935
1477,272.932,27.474,5.334,3.411,93.223,20.097,0.173,3.411,1.102,0.096,20.097,3.801,0.173,5.833,30.543,1875.897,298.984,1494.241,1170.943,81.431,69.272,77.565,4572.143,19.818,148.089
1478,255.754,18.619,4.097,3.598,92.856,16.977,0.13,3.598,1.069,0.069,16.977,4.307,0.13,5.682,30.631,1874.724,284.661,1500.423,1177.878,82.148,54.599,77.675,4565.212,21.366,145.817
1479,211.432,20.621,3.574,3.876,87.254,12.909,0.099,3.876,1.038,0.049,12.909,5.148,0.099,5.437,31.046,1872.93,263.621,1506.724,1184.336,82.75,37.745,77.825,4550.532,23.268,142.91
1480,235.634,17.623,4.234,4.151,93.246,9.141,0.098,4.151,0.976,0.035,9.141,6.188,0.098,5.15,31.741,1870.755,237.658,1512.361,1188.909,83.205,22.413,77.995,4530.002,25.116,140.024
1481,182.299,25.632,4.149,4.322,87.559,6.432,0.135,4.322,0.899,0.029,6.432,6.531,0.135,4.961,32.553,1868.986,215.65,1514.949,1189.811,83.408,13.737,78.089,4510.314,25.778,138.829
1482,265.16,22.511,5.301,4.574,95.266,4.735,0.178,4.574,0.838,0.026,4.735,6.57,0.178,4.826,33.241,1867.073,195.274,1516.336,1188.081,83.664,8.512,78.156,4490.565,26.381,137.751
1483,252.087,30.514,4.658,5.057,93.438,2.718,0.242,5.057,0.771,0.019,2.718,7.588,0.242,4.583,33.884,1864.769,172.662,1518.942,1183.987,84.175,4.629,78.293,4468.981,28.039,135.091
1484,280.768,38.481,5.602,5.407,94.821,1.524,0.349,5.407,0.716,0.017,1.524,8.336,0.349,4.393,34.614,1862.61,151.754,1519.401,1177.854,84.456,4.047,78.271,4446.341,29.025,133.335
1485,364.883,33.784,5.775,5.226,108.303,1.95,0.362,5.226,0.68,0.018,1.95,7.788,0.362,4.396,35.389,1861.683,140.367,1514.796,1173.068,84.298,5.356,78.109,4429.075,27.748,134.904
1486,294.102,26.074,5.868,5.713,100.738,1.261,0.334,5.713,0.646,0.014,1.261,8.504,0.334,4.224,35.995,1859.941,126.626,1512.494,1168.298,84.729,3.221,78.109,4410.451,28.746,133.149
1487,398.276,50.3,6.698,5.782,107.151,1.092,0.47,5.782,0.605,0.015,1.092,8.844,0.47,4.126,36.578,1858.159,114.044,1508.083,1161.693,84.823,4.034,77.908,4389.841,29.096,132.262
1488,475.005,48.021,8.69,5.137,118.956,2.492,0.443,5.137,0.6,0.02,2.492,7.88,0.443,4.24,37.197,1858.9,114.792,1497.967,1158.799,84.277,7.281,77.738,4380.524,25.852,136.751
1489,528.771,51.482,7.939,4.707,121.244,4.964,0.447,4.707,0.637,0.032,4.964,6.909,0.447,4.403,37.419,1860.902,123.706,1490.173,1158.213,83.951,9.687,77.744,4382.91,22.79,141.16
1490,496.467,67.16,7.326,4.461,121.747,7.991,0.461,4.461,0.683,0.041,7.991,6.39,0.461,4.536,37.345,1863.572,136.394,1486.526,1158.274,84.017,11.348,77.846,4393.357,20.952,143.85
1491,497.779,48.95,7.68,4.181,116.302,12.625,0.547,4.181,0.741,0.057,12.625,5.766,0.547,4.713,37.027,1866.946,152.331,1484.603,1158.733,84.124,13.809,77.951,4409.253,19.41,146.206
1492,586.288,54.341,8.585,3.892,128.854,16.749,0.732,3.892,0.841,0.102,16.749,4.904,0.732,4.996,36.367,1871.419,174.44,1485.109,1159.723,84.334,17.379,78.042,4434.301,18.125,148.353
1493,446.135,47.788,8.475,3.701,109.899,19.961,0.782,3.701,0.91,0.119,19.961,4.473,0.782,5.208,35.527,1876.823,198.828,1488.677,1161.701,84.868,21.77,78.16,4466.908,17.084,150.201
1494,584.369,52.711,7.85,3.673,123.568,21.572,0.596,3.673,0.94,0.116,21.572,4.572,0.596,5.326,34.826,1880.892,213.719,1492.927,1164.53,85.89,22.925,78.31,4491.924,17.129,150.453
1495,412.802,55.678,7.083,3.365,99.687,24.505,1.043,3.365,1.034,0.168,24.505,3.888,1.043,5.613,34.093,1886.804,239.127,1497.713,1166.884,86.03,29.037,78.371,4526.9,16.118,152.347
1496,419.946,41.63,7.156,3.327,108.003,27.359,0.65,3.327,1.055,0.152,27.359,3.535,0.65,5.838,32.905,1891.272,259.553,1503.387,1169.857,87.306,31.278,78.43,4559.287,16.47,152.41
1497,484.841,42.201,6.118,3.317,111.991,27.039,0.558,3.317,1.092,0.16,27.039,3.615,0.558,5.94,32.032,1895.287,275.771,1509.829,1173.116,88.406,31.133,78.517,4586.769,17.414,151.499
1498,390.179,33.779,6.734,3.406,104.65,25.461,0.414,3.406,1.063,0.118,25.461,4.056,0.414,5.914,31.68,1899.123,285.716,1517.745,1177.025,89.286,30.24,78.659,4610.035,18.052,150.718
1499,302.289,28.379,5.687,3.428,100.628,23.023,0.366,3.428,1.03,0.085,23.023,4.141,0.366,5.88,31.569,1901.538,286.936,1523.698,1180.474,89.994,27.972,78.764,4622.233,18.319,150.439
1500,371.477,34.901,5.463,3.718,100.815,19.707,0.222,3.718,1.004,0.06,19.707,4.784,0.222,5.745,31.578,1902.008,276.717,1530.404,1183.772,91.012,20.067,78.939,4621.876,20.126,147.882
1501,286.64,23.285,5.454,3.719,97.084,17.428,0.314,3.719,0.965,0.053,17.428,5.068,0.314,5.654,31.929,1902.783,266.762,1535.49,1185.095,91.383,16.748,79.086,4619.859,20.596,147.172
